key_code,physical_row_index,physical_col_index,ribbon_row_index,ribbon_col_index
KC_ESC,0,0,3,10
KC_1,0,1,3,9
KC_2,0,2,3,8
KC_3,0,3,3,7
KC_4,0,4,3,6
KC_5,0,5,3,3
KC_6,0,6,3,4
KC_7,0,7,3,5
KC_8,0,8,7,5
KC_9,0,9,7,4
KC_0,0,10,7,3
KC_MINS,0,11,7,6
KC_EQL,0,12,7,7
KC_BSLS,0,13,7,8
KC_GRV,0,14,7,9
KC_BSPC,0,15,7,10
KC_LOPT,1,0,2,10
KC_TAB,1,1,2,9
KC_Q,1,2,2,8
KC_W,1,3,2,7
KC_E,1,4,2,6
KC_R,1,5,2,3
KC_T,1,6,2,4
KC_Y,1,7,2,5
KC_U,1,8,6,5
KC_I,1,9,6,4
KC_O,1,10,6,3
KC_P,1,11,6,6
KC_LBRC,1,12,6,7
KC_RBRC,1,13,6,8
MO(1),1,14,6,9
KC_UP,1,15,6,10
KC_LCTL,2,0,0,1
KC_CAPS,2,1,0,2
KC_A,2,2,4,10
KC_S,2,3,4,9
KC_D,2,4,4,8
KC_F,2,5,4,7
KC_G,2,6,4,6
KC_H,2,7,4,3
KC_J,2,8,4,4
KC_K,2,9,4,5
KC_L,2,10,5,3
KC_SCLN,2,11,5,6
KC_QUOT,2,12,5,7
KC_ENT,2,13,5,8
KC_DOWN,2,14,5,10
KC_LCMD,3,0,0,0
KC_LSFT,3,1,0,11
KC_Z,3,2,1,10
KC_X,3,3,1,9
KC_C,3,4,1,8
KC_V,3,5,1,7
KC_B,3,6,1,6
KC_N,3,7,1,3
KC_M,3,8,1,4
KC_COMM,3,9,1,5
KC_DOT,3,10,5,4
KC_SLSH,3,11,8,6
KC_LEFT,3,13,5,9
KC_RGHT,3,14,8,10
KC_SPC,4,0,8,9
